title
The Shawshank Redemption
The Godfather
The Dark Knight
Pulp Fiction
The Lord of the Rings: The Return of the King
Forrest Gump
Inception
The Matrix
Goodfellas
Interstellar
The Silence of the Lambs
Saving Private Ryan
Spirited Away
The Green Mile
Parasite
Gladiator
The Departed
Whiplash
The Prestige
The Lion King
Fight Club
Se7en
City of God
The Usual Suspects
Life Is Beautiful
Schindler's List
12 Angry Men
Back to the Future
Django Unchained
The Intouchables
Joker
Avengers: Endgame
Spider-Man: Into the Spider-Verse
The Grand Budapest Hotel
Coco
Mad Max: Fury Road
Blade Runner 2049
Arrival
La La Land
Get Out
Dunkirk
Moonlight
The Shape of Water
A Quiet Place
Knives Out
1917
Jojo Rabbit
Once Upon a Time in Hollywood
Ford v Ferrari
Dune
Everything Everywhere All at Once
